id,title,readers,x,y,area,Tools,paper_abstract,published_in,year,url,file_hash,authors,oa_state
0,Science Slam,0,1.0,0.0,Performance,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Gut Project</li></ul>,2017,2017,https://www.openuphub.eu/,-1697430625488620495,,0
1,Twitter,0,0.7660448221620982,0.6427871579602685,Social Media,,<p>This will describe the subcategory and list the projects </p>. <ul><li>101 Innovations in scholarly communication</li></ul>,2017,2017,https://www.openuphub.eu/,-2892877672897532757,,0
2,Collaboration Platform,0,0.1736493391227216,0.984807548215509,Collaborative Research,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Project Soha</li> <li>Synthesys III</li> <li>Transcribe Bentham</li></ul>,2017,2017,https://www.openuphub.eu/,2058416161084918225,,0
3,Games,0,-0.49999846794843594,0.8660262883130146,Games,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Galaxy Zoo</li> <li>Foldit!</li> <li>The Big Bell Test</li> <li>ScienceAtHome</li></ul>,2017,2017,https://www.openuphub.eu/,5323542304692168422,,0
4,Code Repositories,0,-0.9396918140444841,0.34202235982138185,Repositories,,<p>This will describe the subcategory and list the projects </p>. <ul><li>CERN LHC Experiments</li></ul>,2017,2017,https://www.openuphub.eu/,2114681486746524128,,0
5,Note Repositories,0,-0.9396918140444841,0.34202235982138185,Repositories,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Open Notebooks Science</li></ul>,2017,2017,https://www.openuphub.eu/,5708880010797255449,,0
6,Data Repositories,0,-0.9396918140444841,0.34202235982138185,Repositories,,<p>This will describe the subcategory and list the projects </p>. <ul><li>CERN LHC Experiments</li> <li>EU BON</li></ul>,2017,2017,https://www.openuphub.eu/,6888433444638999293,,0
7,Citizen Science,0,-0.9396936292053367,-0.3420173727033514,Citizen-Science,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Open Source Malaria</li> <li>Open Innovation in Science</li> <li>Personal Genome Project</li> <li>Wildlife of our Homes</li> <li>Bauhinia Genome</li></ul>,2017,2017,https://www.openuphub.eu/,-4636442477471181001,,0
8,Project Website,0,-0.5000030640984338,-0.8660236347191557,Website,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Human Brain Project</li> <li>Homer Multitext</li> <li>Pelagios</li></ul>,2017,2017,https://www.openuphub.eu/,-3816483894563045787,,0
9,Educational Materials,0,0.1736441125697585,-0.9848084697898678,Educational Materials,,<p>This will describe the subcategory and list the projects </p>. <ul><li>WhoLoDancE</li> <li>Frontiers for young Minds</li></ul>,2017,2017,https://www.openuphub.eu/,6865039755423222766,,0
10,Interviews,0,0.7660414107644264,-0.6427912234886591,Video,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Gut Project</li></ul>,2017,2017,https://www.openuphub.eu/,3395405380467048592,,0
11,TV,0,0.7660414107644264,-0.6427912234886591,Video,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Gut Project</li></ul>,2017,2017,https://www.openuphub.eu/,-107666571454359434,,0
12,Video Sharing,0,0.7660414107644264,-0.6427912234886591,Video,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Polymath Project</li> <li>Numberphile</li> <li>Minute Physics</li> <li>Pluto Fly-by</li> <li>Ice Bucket Challenge</li> <li>Gut Project</li> <li>TED</li> <li>CollabLab</li> <li>Vsauce</li> <li>Exomars</li> <li>CERN LHC Experiments</li></ul>,2017,2017,https://www.openuphub.eu/,2277638820952713229,,0
13,Live streaming,0,0.7660414107644264,-0.6427912234886591,Video,,<p>This will describe the subcategory and list the projects </p>. <ul><li>Pluto Fly-by</li></ul>,2017,2017,https://www.openuphub.eu/,5983716328949314614,,0
